iter	Passed	Remaining
0	74	74570
1	89	44564
2	100	33314
3	120	30124
4	144	28677
5	172	28540
6	190	27029
7	207	25735
8	227	25000
9	245	24296
10	257	23186
11	268	22137
12	280	21296
13	295	20832
14	308	20264
15	323	19894
16	336	19447
17	359	19607
18	393	20313
19	413	20278
20	425	19841
21	438	19497
22	452	19229
23	464	18888
24	480	18721
25	496	18595
26	512	18478
27	526	18287
28	544	18221
29	567	18351
30	579	18127
31	599	18146
32	617	18092
33	639	18158
34	653	18015
35	667	17874
36	685	17843
37	699	17710
38	711	17529
39	724	17389
40	737	17256
41	749	17090
42	764	17012
43	778	16904
44	791	16806
45	811	16829
46	826	16762
47	847	16813
48	862	16743
49	874	16619
50	885	16485
51	897	16357
52	911	16294
53	925	16213
54	940	16155
55	964	16266
56	977	16167
57	989	16076
58	1003	16012
59	1017	15944
60	1031	15879
61	1054	15946
62	1069	15911
63	1084	15860
64	1098	15803
65	1112	15738
66	1125	15676
67	1139	15622
68	1155	15589
69	1171	15565
70	1185	15514
71	1207	15565
72	1224	15546
73	1241	15535
74	1255	15484
75	1270	15448
76	1291	15481
77	1303	15405
78	1316	15347
79	1357	15609
80	1376	15614
81	1394	15608
82	1435	15861
83	1453	15847
84	1470	15832
85	1498	15923
86	1516	15909
87	1542	15984
88	1557	15940
89	1569	15869
90	1587	15853
91	1609	15883
92	1630	15898
93	1652	15929
94	1675	15966
95	1697	15986
96	1712	15946
97	1729	15922
98	1743	15867
99	1758	15825
100	1780	15852
101	1795	15804
102	1809	15757
103	1822	15704
104	1835	15646
105	1849	15600
106	1862	15541
107	1876	15499
108	1893	15481
109	1907	15433
110	1922	15398
111	1935	15342
112	1948	15297
113	1964	15270
114	1977	15219
115	1992	15184
116	2005	15136
117	2019	15097
118	2032	15049
119	2046	15008
120	2061	14978
121	2075	14933
122	2091	14915
123	2105	14874
124	2118	14828
125	2131	14783
126	2143	14734
127	2157	14696
128	2172	14671
129	2186	14635
130	2200	14599
131	2213	14557
132	2227	14518
133	2240	14480
134	2255	14451
135	2270	14425
136	2283	14381
137	2296	14347
138	2309	14307
139	2328	14300
140	2339	14253
141	2353	14223
142	2369	14203
143	2383	14168
144	2397	14136
145	2411	14104
146	2424	14066
147	2438	14035
148	2452	14004
149	2464	13963
150	2474	13913
151	2485	13864
152	2497	13824
153	2507	13774
154	2517	13725
155	2529	13682
156	2541	13643
157	2551	13597
158	2562	13553
159	2572	13506
160	2585	13471
161	2595	13425
162	2605	13378
163	2615	13332
164	2626	13292
165	2635	13242
166	2646	13198
167	2656	13156
168	2668	13119
169	2678	13075
170	2689	13037
171	2698	12990
172	2709	12953
173	2718	12904
174	2728	12865
175	2739	12826
176	2749	12784
177	2760	12745
178	2771	12712
179	2782	12676
180	2792	12635
181	2802	12594
182	2813	12560
183	2823	12519
184	2833	12482
185	2844	12450
186	2849	12389
187	2860	12355
188	2871	12319
189	2882	12288
190	2892	12251
191	2901	12211
192	2912	12177
193	2922	12143
194	2932	12104
195	2942	12072
196	2952	12036
197	2963	12004
198	2967	11943
199	2977	11910
200	2987	11874
201	2998	11844
202	3008	11811
203	3017	11775
204	3028	11744
205	3040	11717
206	3050	11685
207	3061	11655
208	3070	11621
209	3080	11588
210	3091	11561
211	3103	11534
212	3113	11503
213	3124	11476
214	3134	11443
215	3145	11418
216	3155	11387
217	3164	11352
218	3174	11322
219	3184	11291
220	3194	11261
221	3205	11233
222	3208	11180
223	3212	11130
224	3225	11110
225	3234	11078
226	3246	11053
227	3256	11024
228	3277	11036
229	3305	11066
230	3319	11049
231	3330	11025
232	3339	10993
233	3351	10969
234	3360	10939
235	3370	10910
236	3379	10881
237	3388	10850
238	3397	10819
239	3407	10790
240	3418	10764
241	3427	10735
242	3437	10708
243	3446	10679
244	3458	10656
245	3469	10632
246	3478	10605
247	3489	10580
248	3494	10539
249	3505	10517
250	3515	10489
251	3524	10460
252	3536	10442
253	3548	10420
254	3557	10394
255	3568	10372
256	3579	10348
257	3590	10327
258	3602	10305
259	3611	10278
260	3621	10254
261	3632	10231
262	3641	10203
263	3651	10181
264	3661	10156
265	3672	10132
266	3682	10109
267	3692	10084
268	3701	10060
269	3710	10032
270	3720	10009
